East,North,Elevation,Var_1,Var_2,Theoretical_rho
   214.471,   148.127,   -89.550,     0.525,     0.254,     0.514
   216.447,   147.891,   -91.540,     0.464,     0.245,     0.510
   218.423,   147.654,   -93.530,     0.485,     0.228,     0.507
   220.399,   147.418,   -95.520,     0.535,     0.237,     0.503
   222.375,   147.182,   -97.510,     0.540,     0.252,     0.500
   224.351,   146.945,   -99.499,     0.555,     0.236,     0.496
   193.154,   204.903,    -0.000,     0.527,     0.242,     0.552
   194.192,   206.522,    -1.923,     0.519,     0.265,     0.550
   195.230,   208.141,    -3.846,     0.539,     0.278,     0.549
   196.268,   209.760,    -5.769,     0.577,     0.292,     0.547
   197.306,   211.379,    -7.692,     0.585,     0.285,     0.545
   198.344,   212.997,    -9.615,     0.603,     0.302,     0.543
   199.381,   214.616,   -11.538,     0.649,     0.320,     0.541
   200.419,   216.235,   -13.461,     0.681,     0.318,     0.539
   201.457,   217.854,   -15.384,     0.668,     0.287,     0.537
   202.495,   219.473,   -17.307,     0.599,     0.263,     0.536
   203.533,   221.092,   -19.230,     0.594,     0.277,     0.534
   204.571,   222.711,   -21.153,     0.531,     0.270,     0.532
   205.609,   224.330,   -23.076,     0.568,     0.279,     0.530
   206.647,   225.948,   -24.999,     0.563,     0.260,     0.528
   207.685,   227.567,   -26.922,     0.563,     0.237,     0.526
   208.722,   229.186,   -28.845,     0.591,     0.248,     0.524
   209.760,   230.805,   -30.768,     0.535,     0.228,     0.522
   210.798,   232.424,   -32.691,     0.520,     0.239,     0.521
   211.836,   234.043,   -34.614,     0.529,     0.242,     0.519
   212.874,   235.662,   -36.537,     0.538,     0.266,     0.517
   213.912,   237.280,   -38.460,     0.537,     0.276,     0.515
   214.950,   238.899,   -40.383,     0.520,     0.255,     0.513
   215.988,   240.518,   -42.306,     0.499,     0.210,     0.511
   217.026,   242.137,   -44.229,     0.527,     0.223,     0.509
   218.064,   243.756,   -46.152,     0.522,     0.234,     0.507
   219.101,   245.375,   -48.075,     0.523,     0.243,     0.506
   220.139,   246.994,   -49.998,     0.479,     0.205,     0.504
   221.177,   248.612,   -51.921,     0.506,     0.229,     0.502
   222.215,   250.231,   -53.844,     0.532,     0.234,     0.500
   223.253,   251.850,   -55.767,     0.513,     0.246,     0.498
   224.291,   253.469,   -57.690,     0.516,     0.233,     0.496
   225.329,   255.088,   -59.613,     0.526,     0.232,     0.494
   226.367,   256.707,   -61.536,     0.528,     0.226,     0.493
   227.405,   258.326,   -63.459,     0.576,     0.251,     0.491
   228.442,   259.944,   -65.382,     0.531,     0.237,     0.489
   229.480,   261.563,   -67.305,     0.523,     0.229,     0.487
   230.518,   263.182,   -69.228,     0.502,     0.226,     0.485
   231.556,   264.801,   -71.151,     0.490,     0.223,     0.483
   232.594,   266.420,   -73.074,     0.527,     0.228,     0.481
   233.632,   268.039,   -74.997,     0.543,     0.237,     0.479
   234.670,   269.658,   -76.920,     0.526,     0.235,     0.478
   235.708,   271.277,   -78.843,     0.556,     0.262,     0.476
   236.746,   272.895,   -80.766,     0.566,     0.242,     0.474
   237.784,   274.514,   -82.689,     0.569,     0.239,     0.472
   238.821,   276.133,   -84.612,     0.520,     0.214,     0.470
   239.859,   277.752,   -86.535,     0.542,     0.219,     0.468
   240.897,   279.371,   -88.458,     0.488,     0.210,     0.466
   241.935,   280.990,   -90.381,     0.482,     0.220,     0.465
   242.973,   282.609,   -92.304,     0.558,     0.242,     0.463
   244.011,   284.227,   -94.227,     0.575,     0.256,     0.461
   245.049,   285.846,   -96.150,     0.607,     0.261,     0.459
   117.008,   271.819,    -0.000,     0.338,     0.203,     0.689
   118.377,   271.025,    -1.582,     0.355,     0.219,     0.687
   119.746,   270.232,    -3.164,     0.320,     0.200,     0.684
   121.115,   269.438,    -4.747,     0.333,     0.212,     0.682
   122.484,   268.645,    -6.329,     0.325,     0.211,     0.680
   123.852,   267.851,    -7.911,     0.344,     0.218,     0.677
   125.221,   267.058,    -9.493,     0.344,     0.209,     0.675
   126.590,   266.264,   -11.075,     0.367,     0.219,     0.672
   127.959,   265.471,   -12.658,     0.352,     0.210,     0.670
   129.328,   264.677,   -14.240,     0.362,     0.235,     0.667
   130.697,   263.884,   -15.822,     0.388,     0.228,     0.665
   132.065,   263.090,   -17.404,     0.395,     0.230,     0.662
   133.434,   262.297,   -18.986,     0.398,     0.227,     0.660
   134.803,   261.503,   -20.569,     0.382,     0.226,     0.657
   136.172,   260.710,   -22.151,     0.392,     0.241,     0.655
   137.541,   259.916,   -23.733,     0.375,     0.228,     0.652
   138.910,   259.122,   -25.315,     0.357,     0.220,     0.650
   140.278,   258.329,   -26.897,     0.335,     0.207,     0.647
   141.647,   257.535,   -28.480,     0.328,     0.203,     0.645
   143.016,   256.742,   -30.062,     0.326,     0.192,     0.643
   144.385,   255.948,   -31.644,     0.324,     0.200,     0.640
   145.754,   255.155,   -33.226,     0.327,     0.194,     0.638
   147.123,   254.361,   -34.808,     0.324,     0.193,     0.635
   148.491,   253.568,   -36.391,     0.345,     0.208,     0.633
   149.860,   252.774,   -37.973,     0.325,     0.204,     0.630
   151.229,   251.981,   -39.555,     0.349,     0.217,     0.628
   152.598,   251.187,   -41.137,     0.376,     0.232,     0.625
   153.967,   250.394,   -42.719,     0.374,     0.223,     0.623
   155.336,   249.600,   -44.302,     0.397,     0.233,     0.620
   156.704,   248.807,   -45.884,     0.364,     0.226,     0.618
   158.073,   248.013,   -47.466,     0.400,     0.237,     0.615
   159.442,   247.220,   -49.048,     0.393,     0.232,     0.613
   160.811,   246.426,   -50.630,     0.362,     0.224,     0.611
   162.180,   245.633,   -52.213,     0.370,     0.229,     0.608
   163.549,   244.839,   -53.795,     0.350,     0.228,     0.606
   164.917,   244.046,   -55.377,     0.357,     0.221,     0.603
   166.286,   243.252,   -56.959,     0.371,     0.229,     0.601
   167.655,   242.459,   -58.541,     0.410,     0.241,     0.598
   169.024,   241.665,   -60.124,     0.430,     0.244,     0.596
   170.393,   240.872,   -61.706,     0.415,     0.249,     0.593
   171.762,   240.078,   -63.288,     0.424,     0.249,     0.591
   173.130,   239.285,   -64.870,     0.431,     0.254,     0.588
   174.499,   238.491,   -66.452,     0.442,     0.260,     0.586
   175.868,   237.698,   -68.035,     0.447,     0.254,     0.583
   177.237,   236.904,   -69.617,     0.524,     0.262,     0.581
   178.606,   236.111,   -71.199,     0.519,     0.260,     0.579
   179.975,   235.317,   -72.781,     0.521,     0.260,     0.576
   181.344,   234.524,   -74.363,     0.543,     0.274,     0.574
   182.712,   233.730,   -75.946,     0.577,     0.270,     0.571
   184.081,   232.937,   -77.528,     0.516,     0.251,     0.569
   185.450,   232.143,   -79.110,     0.508,     0.256,     0.566
   162.479,   397.981,    -0.000,     0.394,     0.211,     0.608
   163.993,   397.719,    -1.536,     0.424,     0.203,     0.605
   165.506,   397.457,    -3.072,     0.449,     0.226,     0.602
   167.020,   397.195,    -4.608,     0.463,     0.227,     0.599
   168.534,   396.933,    -6.144,     0.459,     0.233,     0.597
   170.047,   396.671,    -7.680,     0.448,     0.228,     0.594
   171.561,   396.409,    -9.217,     0.459,     0.236,     0.591
   173.074,   396.147,   -10.753,     0.436,     0.237,     0.588
   174.588,   395.885,   -12.289,     0.438,     0.233,     0.586
   176.102,   395.623,   -13.825,     0.466,     0.231,     0.583
   177.615,   395.361,   -15.361,     0.455,     0.219,     0.580
   179.129,   395.099,   -16.897,     0.426,     0.195,     0.578
   180.642,   394.837,   -18.433,     0.444,     0.201,     0.575
   182.156,   394.575,   -19.969,     0.459,     0.214,     0.572
   183.669,   394.313,   -21.505,     0.455,     0.219,     0.569
   185.183,   394.051,   -23.041,     0.479,     0.218,     0.567
   186.697,   393.789,   -24.577,     0.453,     0.212,     0.564
   188.210,   393.527,   -26.113,     0.401,     0.206,     0.561
   189.724,   393.265,   -27.650,     0.420,     0.226,     0.558
   191.237,   393.003,   -29.186,     0.428,     0.233,     0.556
   192.751,   392.741,   -30.722,     0.414,     0.224,     0.553
   194.265,   392.479,   -32.258,     0.448,     0.247,     0.550
   195.778,   392.217,   -33.794,     0.458,     0.256,     0.548
   197.292,   391.955,   -35.330,     0.453,     0.255,     0.545
   198.805,   391.693,   -36.866,     0.467,     0.259,     0.542
   200.319,   391.431,   -38.402,     0.487,     0.264,     0.539
   201.832,   391.169,   -39.938,     0.486,     0.258,     0.537
   203.346,   390.907,   -41.474,     0.487,     0.265,     0.534
   204.860,   390.645,   -43.010,     0.465,     0.232,     0.531
   206.373,   390.383,   -44.547,     0.493,     0.248,     0.529
   207.887,   390.121,   -46.083,     0.476,     0.236,     0.526
   209.400,   389.859,   -47.619,     0.470,     0.238,     0.523
   210.914,   389.597,   -49.155,     0.496,     0.241,     0.520
   212.428,   389.335,   -50.691,     0.517,     0.233,     0.518
   213.941,   389.074,   -52.227,     0.521,     0.253,     0.515
   215.455,   388.812,   -53.763,     0.547,     0.270,     0.512
   216.968,   388.550,   -55.299,     0.512,     0.270,     0.509
   218.482,   388.288,   -56.835,     0.479,     0.254,     0.507
   219.995,   388.026,   -58.371,     0.505,     0.252,     0.504
   221.509,   387.764,   -59.907,     0.569,     0.265,     0.501
   223.023,   387.502,   -61.444,     0.529,     0.256,     0.499
   224.536,   387.240,   -62.980,     0.534,     0.263,     0.496
   226.050,   386.978,   -64.516,     0.521,     0.246,     0.493
   227.563,   386.716,   -66.052,     0.486,     0.228,     0.490
   229.077,   386.454,   -67.588,     0.464,     0.235,     0.488
   230.591,   386.192,   -69.124,     0.454,     0.242,     0.485
   232.104,   385.930,   -70.660,     0.446,     0.237,     0.482
   233.618,   385.668,   -72.196,     0.437,     0.226,     0.479
   235.131,   385.406,   -73.732,     0.465,     0.234,     0.477
   236.645,   385.144,   -75.268,     0.464,     0.244,     0.474
   238.158,   384.882,   -76.804,     0.443,     0.233,     0.471
   112.449,   405.803,    -0.000,     0.379,     0.213,     0.698
   112.546,   407.426,    -1.626,     0.375,     0.204,     0.697
   112.644,   409.049,    -3.252,     0.429,     0.232,     0.697
   112.742,   410.672,    -4.878,     0.426,     0.234,     0.697
   112.840,   412.295,    -6.504,     0.402,     0.226,     0.697
   112.937,   413.918,    -8.129,     0.369,     0.215,     0.697
   113.035,   415.541,    -9.755,     0.354,     0.225,     0.697
   113.133,   417.164,   -11.381,     0.353,     0.212,     0.696
   113.230,   418.787,   -13.007,     0.352,     0.219,     0.696
   113.328,   420.410,   -14.633,     0.345,     0.219,     0.696
   113.426,   422.033,   -16.259,     0.317,     0.211,     0.696
   113.524,   423.656,   -17.885,     0.335,     0.229,     0.696
   113.621,   425.279,   -19.511,     0.333,     0.229,     0.695
   113.719,   426.902,   -21.137,     0.323,     0.217,     0.695
   113.817,   428.525,   -22.763,     0.305,     0.203,     0.695
   113.914,   430.148,   -24.388,     0.311,     0.198,     0.695
   114.012,   431.771,   -26.014,     0.294,     0.196,     0.695
   114.110,   433.394,   -27.640,     0.276,     0.190,     0.695
   114.208,   435.017,   -29.266,     0.295,     0.186,     0.694
   114.305,   436.639,   -30.892,     0.300,     0.180,     0.694
   114.403,   438.262,   -32.518,     0.304,     0.188,     0.694
   114.501,   439.885,   -34.144,     0.308,     0.196,     0.694
   114.598,   441.508,   -35.770,     0.309,     0.191,     0.694
   114.696,   443.131,   -37.396,     0.291,     0.188,     0.694
   114.794,   444.754,   -39.022,     0.315,     0.192,     0.693
   114.892,   446.377,   -40.647,     0.323,     0.199,     0.693
   114.989,   448.000,   -42.273,     0.311,     0.178,     0.693
   115.087,   449.623,   -43.899,     0.316,     0.193,     0.693
   115.185,   451.246,   -45.525,     0.336,     0.198,     0.693
   115.282,   452.869,   -47.151,     0.324,     0.198,     0.692
   115.380,   454.492,   -48.777,     0.342,     0.206,     0.692
   115.478,   456.115,   -50.403,     0.373,     0.226,     0.692
   115.576,   457.738,   -52.029,     0.385,     0.228,     0.692
   115.673,   459.361,   -53.655,     0.385,     0.229,     0.692
   115.771,   460.984,   -55.280,     0.378,     0.224,     0.692
   115.869,   462.607,   -56.906,     0.344,     0.203,     0.691
   115.966,   464.230,   -58.532,     0.336,     0.195,     0.691
   116.064,   465.853,   -60.158,     0.348,     0.210,     0.691
   116.162,   467.476,   -61.784,     0.373,     0.223,     0.691
   116.260,   469.099,   -63.410,     0.378,     0.219,     0.691
   116.357,   470.722,   -65.036,     0.372,     0.219,     0.691
   116.455,   472.345,   -66.662,     0.375,     0.220,     0.690
   116.553,   473.967,   -68.288,     0.367,     0.222,     0.690
   116.650,   475.590,   -69.914,     0.366,     0.224,     0.690
   116.748,   477.213,   -71.539,     0.336,     0.200,     0.690
   116.846,   478.836,   -73.165,     0.335,     0.214,     0.690
   116.944,   480.459,   -74.791,     0.328,     0.225,     0.690
   117.041,   482.082,   -76.417,     0.320,     0.222,     0.689
   117.139,   483.705,   -78.043,     0.311,     0.215,     0.689
   117.237,   485.328,   -79.669,     0.299,     0.204,     0.689
   117.334,   486.951,   -81.295,     0.291,     0.201,     0.689
   192.308,   496.933,    -0.000,     0.541,     0.251,     0.554
   193.052,   495.649,    -1.483,     0.539,     0.247,     0.553
   193.796,   494.366,    -2.967,     0.511,     0.248,     0.551
   194.540,   493.083,    -4.450,     0.498,     0.236,     0.550
   195.284,   491.799,    -5.933,     0.463,     0.222,     0.548
   196.027,   490.516,    -7.416,     0.457,     0.224,     0.547
   196.771,   489.233,    -8.900,     0.454,     0.234,     0.546
   197.515,   487.949,   -10.383,     0.448,     0.227,     0.544
   198.259,   486.666,   -11.866,     0.445,     0.214,     0.543
   199.002,   485.383,   -13.350,     0.482,     0.225,     0.542
   199.746,   484.099,   -14.833,     0.489,     0.236,     0.540
   200.490,   482.816,   -16.316,     0.473,     0.235,     0.539
   201.234,   481.533,   -17.800,     0.469,     0.228,     0.538
   201.978,   480.249,   -19.283,     0.482,     0.233,     0.536
   202.721,   478.966,   -20.766,     0.549,     0.240,     0.535
   203.465,   477.683,   -22.249,     0.557,     0.264,     0.534
   204.209,   476.399,   -23.733,     0.583,     0.260,     0.532
   204.953,   475.116,   -25.216,     0.611,     0.271,     0.531
   205.696,   473.833,   -26.699,     0.600,     0.278,     0.530
   206.440,   472.549,   -28.183,     0.609,     0.273,     0.528
   207.184,   471.266,   -29.666,     0.606,     0.263,     0.527
   207.928,   469.983,   -31.149,     0.650,     0.267,     0.526
   208.672,   468.699,   -32.632,     0.621,     0.291,     0.524
   209.415,   467.416,   -34.116,     0.609,     0.271,     0.523
   210.159,   466.133,   -35.599,     0.616,     0.275,     0.522
   210.903,   464.849,   -37.082,     0.613,     0.288,     0.520
   211.647,   463.566,   -38.566,     0.608,     0.285,     0.519
   212.390,   462.283,   -40.049,     0.636,     0.290,     0.518
   213.134,   460.999,   -41.532,     0.585,     0.258,     0.516
   213.878,   459.716,   -43.016,     0.564,     0.248,     0.515
   214.622,   458.433,   -44.499,     0.559,     0.236,     0.514
   215.366,   457.149,   -45.982,     0.520,     0.223,     0.512
   216.109,   455.866,   -47.465,     0.552,     0.237,     0.511
   216.853,   454.583,   -48.949,     0.565,     0.248,     0.510
   217.597,   453.299,   -50.432,     0.565,     0.242,     0.508
   218.341,   452.016,   -51.915,     0.564,     0.242,     0.507
   219.085,   450.733,   -53.399,     0.513,     0.252,     0.506
   219.828,   449.449,   -54.882,     0.484,     0.251,     0.504
   220.572,   448.166,   -56.365,     0.501,     0.256,     0.503
   221.316,   446.883,   -57.848,     0.464,     0.258,     0.502
   222.060,   445.599,   -59.332,     0.490,     0.273,     0.500
   222.803,   444.316,   -60.815,     0.505,     0.282,     0.499
   223.547,   443.033,   -62.298,     0.515,     0.277,     0.498
   224.291,   441.749,   -63.782,     0.521,     0.263,     0.496
   225.035,   440.466,   -65.265,     0.532,     0.267,     0.495
   225.779,   439.183,   -66.748,     0.552,     0.278,     0.494
   226.522,   437.899,   -68.231,     0.524,     0.274,     0.492
   227.266,   436.616,   -69.715,     0.535,     0.279,     0.491
   228.010,   435.333,   -71.198,     0.552,     0.278,     0.490
   228.754,   434.049,   -72.681,     0.518,     0.263,     0.488
   229.497,   432.766,   -74.165,     0.527,     0.267,     0.487
   196.204,   483.055,    -0.000,     0.514,     0.276,     0.547
   194.641,   482.287,    -1.742,     0.503,     0.290,     0.550
   193.078,   481.518,    -3.483,     0.474,     0.273,     0.552
   191.515,   480.749,    -5.225,     0.495,     0.264,     0.555
   189.952,   479.980,    -6.967,     0.488,     0.256,     0.558
   188.389,   479.212,    -8.709,     0.480,     0.263,     0.561
   186.826,   478.443,   -10.450,     0.488,     0.258,     0.564
   185.263,   477.674,   -12.192,     0.523,     0.257,     0.567
   183.700,   476.905,   -13.934,     0.487,     0.251,     0.569
   182.138,   476.137,   -15.676,     0.526,     0.259,     0.572
   180.575,   475.368,   -17.417,     0.519,     0.264,     0.575
   179.012,   474.599,   -19.159,     0.508,     0.274,     0.578
   177.449,   473.830,   -20.901,     0.486,     0.271,     0.581
   175.886,   473.062,   -22.643,     0.506,     0.268,     0.583
   174.323,   472.293,   -24.384,     0.470,     0.250,     0.586
   172.760,   471.524,   -26.126,     0.461,     0.259,     0.589
   171.197,   470.755,   -27.868,     0.444,     0.254,     0.592
   169.634,   469.987,   -29.610,     0.443,     0.264,     0.595
   168.071,   469.218,   -31.351,     0.425,     0.271,     0.597
   166.509,   468.449,   -33.093,     0.430,     0.263,     0.600
   164.946,   467.680,   -34.835,     0.458,     0.285,     0.603
   163.383,   466.912,   -36.577,     0.471,     0.289,     0.606
   161.820,   466.143,   -38.318,     0.490,     0.284,     0.609
   160.257,   465.374,   -40.060,     0.444,     0.264,     0.612
   158.694,   464.605,   -41.802,     0.414,     0.232,     0.614
   157.131,   463.836,   -43.544,     0.438,     0.239,     0.617
   155.568,   463.068,   -45.285,     0.430,     0.245,     0.620
   154.005,   462.299,   -47.027,     0.437,     0.273,     0.623
   152.442,   461.530,   -48.769,     0.458,     0.285,     0.626
   150.879,   460.761,   -50.510,     0.441,     0.274,     0.628
   149.317,   459.993,   -52.252,     0.405,     0.257,     0.631
   147.754,   459.224,   -53.994,     0.396,     0.250,     0.634
   146.191,   458.455,   -55.736,     0.391,     0.250,     0.637
   144.628,   457.686,   -57.477,     0.396,     0.263,     0.640
   143.065,   456.918,   -59.219,     0.408,     0.263,     0.642
   141.502,   456.149,   -60.961,     0.408,     0.276,     0.645
   139.939,   455.380,   -62.703,     0.385,     0.253,     0.648
   138.376,   454.611,   -64.444,     0.367,     0.235,     0.651
   136.813,   453.843,   -66.186,     0.368,     0.228,     0.654
   135.250,   453.074,   -67.928,     0.340,     0.199,     0.657
   133.687,   452.305,   -69.670,     0.326,     0.192,     0.659
   132.125,   451.536,   -71.411,     0.362,     0.206,     0.662
   130.562,   450.768,   -73.153,     0.357,     0.196,     0.665
   128.999,   449.999,   -74.895,     0.329,     0.177,     0.668
   127.436,   449.230,   -76.637,     0.354,     0.184,     0.671
   125.873,   448.461,   -78.378,     0.384,     0.210,     0.673
   124.310,   447.693,   -80.120,     0.377,     0.210,     0.676
   122.747,   446.924,   -81.862,     0.369,     0.205,     0.679
   121.184,   446.155,   -83.604,     0.356,     0.203,     0.682
   119.621,   445.386,   -85.345,     0.340,     0.186,     0.685
   118.058,   444.618,   -87.087,     0.353,     0.186,     0.687
   107.765,   599.813,    -0.000,     0.311,     0.184,     0.706
   109.536,   599.299,    -1.844,     0.317,     0.179,     0.703
   111.307,   598.784,    -3.688,     0.353,     0.195,     0.700
   113.078,   598.269,    -5.532,     0.389,     0.205,     0.696
   114.849,   597.754,    -7.377,     0.401,     0.207,     0.693
   116.620,   597.239,    -9.221,     0.388,     0.209,     0.690
   118.390,   596.724,   -11.065,     0.358,     0.214,     0.687
   120.161,   596.209,   -12.909,     0.353,     0.221,     0.684
   121.932,   595.694,   -14.753,     0.339,     0.214,     0.681
   123.703,   595.179,   -16.597,     0.325,     0.201,     0.677
   125.474,   594.664,   -18.442,     0.332,     0.195,     0.674
   127.244,   594.150,   -20.286,     0.361,     0.207,     0.671
   129.015,   593.635,   -22.130,     0.366,     0.217,     0.668
   130.786,   593.120,   -23.974,     0.375,     0.211,     0.665
   132.557,   592.605,   -25.818,     0.383,     0.213,     0.661
   134.328,   592.090,   -27.662,     0.395,     0.226,     0.658
   136.098,   591.575,   -29.506,     0.368,     0.222,     0.655
   137.869,   591.060,   -31.351,     0.349,     0.222,     0.652
   139.640,   590.545,   -33.195,     0.396,     0.237,     0.649
   141.411,   590.030,   -35.039,     0.394,     0.234,     0.645
   143.182,   589.515,   -36.883,     0.431,     0.229,     0.642
   144.952,   589.001,   -38.727,     0.423,     0.231,     0.639
   146.723,   588.486,   -40.571,     0.403,     0.210,     0.636
   148.494,   587.971,   -42.415,     0.400,     0.194,     0.633
   150.265,   587.456,   -44.260,     0.365,     0.199,     0.630
   152.036,   586.941,   -46.104,     0.372,     0.207,     0.626
   153.807,   586.426,   -47.948,     0.370,     0.210,     0.623
   155.577,   585.911,   -49.792,     0.381,     0.215,     0.620
   157.348,   585.396,   -51.636,     0.397,     0.230,     0.617
   159.119,   584.881,   -53.480,     0.392,     0.236,     0.614
   160.890,   584.366,   -55.325,     0.407,     0.229,     0.610
   162.661,   583.851,   -57.169,     0.365,     0.221,     0.607
   164.431,   583.337,   -59.013,     0.375,     0.220,     0.604
   166.202,   582.822,   -60.857,     0.398,     0.233,     0.601
   167.973,   582.307,   -62.701,     0.389,     0.209,     0.598
   169.744,   581.792,   -64.545,     0.385,     0.223,     0.594
   171.515,   581.277,   -66.389,     0.379,     0.237,     0.591
   173.285,   580.762,   -68.234,     0.405,     0.244,     0.588
   175.056,   580.247,   -70.078,     0.445,     0.247,     0.585
   176.827,   579.732,   -71.922,     0.454,     0.247,     0.582
   178.598,   579.217,   -73.766,     0.445,     0.245,     0.579
